1	BLITZER	It's time for the candidates to introduce themselves right now.	0
2	BLITZER	You'll each have 30 seconds.	0
3	BLITZER	Dr. Carson, you're first.	0
4	CARSON	If someone had tried to describe today's America to you 30 years ago, you would have listened in disbelief.	0
5	CARSON	Americans know that our nation is heading off the abyss of destruction, secondary to divisiveness, fiscal irresponsibility, and failure to lead.	0
6	CARSON	Marco, Donald, Ted, John, we will not solve any of these problems by trying to destroy each other.	0
7	CARSON	What we need to do is be looking for solutions tonight.	0
8	CARSON	It's not about us, it's about the American people.	0
9	SYSTEM	(APPLAUSE)	0
10	BLITZER	Governor Kasich?	0
11	KASICH	Well, you know, on the way over here, even getting ready earlier and sitting in the green room and watching the early coverage, you know, my father carried mail on his back and his father was a coal miner and my mother's mother was an immigrant, could barely speak English.	0
12	KASICH	And I'm standing on this stage.	0
13	KASICH	It's pretty remarkable.	0
14	KASICH	But I want to tell you, there's a lot of young people watching tonight.	0
15	KASICH	You can do whatever you want to do in your life.	0
16	KASICH	America is an amazing country, where a kid like me can grow up to run for president of the United States and be on this stage tonight.	0
17	KASICH	So to all the young people that are out there, your hopes, your dreams, pursue them.	0
18	KASICH	Shoot for the stars.	0
19	KASICH	America's great, and you can do it.	0
20	KASICH	Thank you, Wolf.	0
21	SYSTEM	(APPLAUSE)	0
22	BLITZER	Senator Rubio?	0
23	RUBIO	Well, thank you.	0
24	RUBIO	This election, we have to decide the identity of America in the 21st century, but as part of this primary, we have to find out our identity as a party and as a movement.	0
25	RUBIO	Thirty-six years ago, Ronald Reagan and George H.W.	0
26	RUBIO	Bush began the Reagan Revolution.	0
27	RUBIO	For a generation, they defined conservatism as limited government and free enterprise and a strong national defense.	0
28	RUBIO	But they also appealed to our hopes and our dreams.	0
29	RUBIO	Now we have to decide if we are still that kind of party and still that kind of movement, or if we're simply going to become a party that preys on people's angers and fears.	0
30	RUBIO	I hope we remain that conservative movement that appeals to our hopes and our dreams and the belief that America will always be better in its future than it's been in its story history.	0
31	SYSTEM	(APPLAUSE)	0
32	BLITZER	Senator Cruz?	0
33	CRUZ	Welcome to Texas.	0
34	SYSTEM	(APPLAUSE)	0
35	CRUZ	Here, Texas provided my family with hope.	0
36	CRUZ	Here, my mom became the first in her family ever to go to college.	0
37	CRUZ	Here, my dad fled Cuba and washed dishes, making 50 cents an hour to pay his way through the University of Texas.	0
38	CRUZ	I graduated from high school at Second Baptist not too far away from here.	0
39	CRUZ	When I ran for Senate, I promised 27 million Texans I would fight for you every day, and not for the Washington bosses.	0
40	CRUZ	And, I'll tell you, as I travel the state, Democrats tell me I didn't vote for you, but you're doing what you said you would do.	0
41	CRUZ	And, as president, I will do the same.	0
42	SYSTEM	(APPLAUSE)	0
43	BLITZER	Mr. Trump.	0
44	TRUMP	Thank you.	0
45	TRUMP	My whole theme is make America great again.	0
