1	TRUMP	Mr. Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States, and my fellow Americans:	0
2	TRUMP	Less than one year has passed since I first stood at this podium, in this majestic chamber, to speak on behalf of the American people and to address their concerns, their hopes, and their dreams.	0
3	TRUMP	That night, our new administration had already taken very swift action.	0
4	TRUMP	A new tide of optimism was already sweeping across our land.	0
5	TRUMP	Each day since, we have gone forward with a clear vision and a righteous mission — to make America great again for all Americans.	0
6	SYSTEM	(APPLAUSE)	0
7	TRUMP	Over the last year, we have made incredible progress and achieved extraordinary success.	0
8	TRUMP	We have faced challenges we expected, and others we could never have imagined.	0
9	TRUMP	We have shared in the heights of victory and the pains of hardship.	0
10	TRUMP	We have endured floods and fires and storms.	0
11	TRUMP	But through it all, we have seen the beauty of America’s soul, and the steel in America’s spine.	0
12	TRUMP	Each test has forged new American heroes to remind us who we are, and show us what we can be.	0
13	TRUMP	We saw the volunteers of the Cajun Navy, racing to the rescue with their fishing boats to save people in the aftermath of a totally devastating hurricane.	0
14	TRUMP	We saw strangers shielding strangers from a hail of gunfire on the Las Vegas strip.	0
15	TRUMP	We heard tales of Americans like Coast Guard Petty Officer Ashlee Leppert, who is here tonight in the gallery with Melania.	0
16	SYSTEM	(APPLAUSE)	0
17	TRUMP	Ashlee was aboard one of the first helicopters on the scene in Houston during the Hurricane Harvey.	0
18	TRUMP	Through 18 hours of wind and rain, Ashlee braved live power lines and deep water to help save more than 40 lives.	0
19	TRUMP	Ashlee, we all thank you.	0
20	TRUMP	Thank you very much.	0
21	SYSTEM	(APPLAUSE)	0
22	TRUMP	We heard about Americans like firefighter David Dahlberg.	0
23	TRUMP	He’s here with us also.	0
24	TRUMP	David faced down walls of flame to rescue almost 60 children trapped at a California summer camp threatened by those devastating wildfires.	0
25	TRUMP	To everyone still recovering in Texas, Florida, Louisiana, Puerto Rico, and the Virgin Islands — everywhere — we are with you, we love you, and we always will pull through together, always.	0
26	SYSTEM	(APPLAUSE)	0
27	TRUMP	Thank you to David and the brave people of California.	0
28	TRUMP	Thank you very much, David.	0
29	TRUMP	Great job.	0
30	TRUMP	Some trials over the past year touched this chamber very personally.	0
31	TRUMP	With us tonight is one of the toughest people ever to serve in this House — a guy who took a bullet, almost died, and was back to work three and a half months later: the legend from Louisiana, Congressman Steve Scalise.	0
32	SYSTEM	(APPLAUSE)	0
33	TRUMP	I think they like you, Steve.	0
34	TRUMP	(LAUGHTER)	0
35	TRUMP	"We are incredibly grateful for the heroic efforts of the Capitol Police officers, the Alexandria Police, and the doctors, nurses, and paramedics who saved his life and the lives of many others; some in this room."	0
36	TRUMP	In the aftermath —	0
37	SYSTEM	(APPLAUSE)	0
38	TRUMP	— yes.	0
39	TRUMP	Yes.	0
40	TRUMP	In the aftermath of that terrible shooting, we came together, not as Republicans or Democrats, but as representatives of the people.	0
41	TRUMP	But it is not enough to come together only in times of tragedy.	0
42	TRUMP	Tonight, I call upon all of us to set aside our differences, to seek out common ground, and to summon the unity we need to deliver for the people.	0
43	TRUMP	This is really the key.	0
44	TRUMP	These are the people we were elected to serve.	0
45	SYSTEM	(APPLAUSE)	0
46	TRUMP	Over the last year, the world has seen what we always knew: that no people on Earth are so fearless, or daring, or determined as Americans.	0
47	TRUMP	If there is a mountain, we climb it.	0
48	TRUMP	If there is a frontier, we cross it.	0
49	TRUMP	If there’s a challenge, we tame it.	0
50	TRUMP	If there’s an opportunity, we seize it.	0
51	TRUMP	So let’s begin tonight by recognizing that the state of our Union is strong because our people are strong.	0
52	SYSTEM	(APPLAUSE)	0
53	TRUMP	And together, we are building a safe, strong, and proud America.	0
54	TRUMP	Since the election, we have created 2.4 million new jobs, including —	1
55	SYSTEM	(APPLAUSE)	0
56	TRUMP	— including 200,000 new jobs in manufacturing alone.	1
57	TRUMP	Tremendous numbers.	0
58	SYSTEM	(APPLAUSE)	0
59	TRUMP	After years and years of wage stagnation, we are finally seeing rising wages.	0
60	SYSTEM	(APPLAUSE)	0
61	TRUMP	Unemployment claims have hit a 45-year low.	0
62	SYSTEM	(APPLAUSE)	0
63	TRUMP	It’s something I’m very proud of.	0
64	TRUMP	African American unemployment stands at the lowest rate ever recorded.	1
65	SYSTEM	(APPLAUSE)	0
66	TRUMP	And Hispanic American unemployment has also reached the lowest levels in history.	1
67	SYSTEM	(APPLAUSE)	0
68	TRUMP	Small-business confidence is at an all-time high.	0
69	TRUMP	The stock market has smashed one record after another, gaining $8 trillion, and more, in value in just this short period of time.	0
70	TRUMP	The great news —	0
71	SYSTEM	(APPLAUSE)	0
72	TRUMP	— the great news for Americans’ 401(k), retirement, pension, and college savings accounts have gone through the roof.	0
73	TRUMP	And just as I promised the American people from this podium 11 months ago, we enacted the biggest tax cuts and reforms in American history.	1
74	SYSTEM	(APPLAUSE)	0
75	TRUMP	Our massive tax cuts provide tremendous relief for the middle class and small business.	1
76	TRUMP	To lower tax rates for hardworking Americans, we nearly doubled the standard deduction for everyone.	1
77	SYSTEM	(APPLAUSE)	0
78	TRUMP	Now, the first $24,000 earned by a married couple is completely tax-free.	1
79	SYSTEM	(APPLAUSE)	0
80	TRUMP	We also doubled the child tax credit.	1
81	SYSTEM	(APPLAUSE)	0
82	TRUMP	A typical family of four making $75,000 will see their tax bill reduced by $2,000, slashing their tax bill in half.	1
83	SYSTEM	(APPLAUSE)	0
84	TRUMP	In April, this will be the last time you will ever file under the old and very broken system, and millions of Americans will have more take-home pay starting next month — a lot more.	0
85	SYSTEM	(APPLAUSE)	0
86	TRUMP	We eliminated an especially cruel tax that fell mostly on Americans making less than $50,000 a year, forcing them to pay tremendous penalties simply because they couldn’t afford government-ordered health plans.	1
87	SYSTEM	(APPLAUSE)	0
88	TRUMP	We repealed the core of the disastrous Obamacare.	0
89	TRUMP	The individual mandate is now gone.	0
90	TRUMP	Thank heaven.	0
91	SYSTEM	(APPLAUSE)	0
92	TRUMP	We slashed the business tax rate from 35 percent all the way down to 21 percent, so American companies can compete and win against anyone else anywhere in the world.	1
